00005855n|Se conoce como juego sexual a los preludios del acto sexual.
00755776n|Star Wars Jedi Knight: Dark Forces II es un videojuego de disparos en primera persona para PC publicado por Lucas Arts en 1997.
00756215n|La brisca es un juego de naipes que se juega con la baraja española.
00758884n|Deflektor es un videojuego logica desarrollado por Vortex Software y publicado por Gremlin Graphics en 1987.
00758957n|Soma Bringer es un videojuego de rol desarrollado por Monolith Soft y distribuido por Nintendo para Nintendo DS.
00759361n|Golden Basket es un videojuego de simulacion de baloncesto.
00761449n|Polybius es un videojuego arcade que se convirtio en una leyenda urbana.
00761533n|MPLE "UNO es un juego popular de cartas estadounidense desarrollado en 1971 por Merle Robbins en Reading, Ohio.
00765540n|World of Goo es un videojuego de logica, con un fuerte enfasis en la fisica, publicado para la consola Wii, y para los tres principales sistemas operativos de PC: Windows, Mac OS X y Linux.
00765568n|Audiosurf es un videojuego musical en el que el jugador recorre unas pistas de varios carriles recogiendo bloques de colores que aparecen al ritmo de la musica.
00766180n|Aliens: Colonial Marines es un videojuego de disparos en primera persona que actualmente esta siendo desarrollado por Gearbox Software y sera publicado por SEGA para Microsoft Windows, Xbox 360, PlayStation 3 y Wii U.
00766325n|Super Smash Bros., conocido en Japon como, es un videojuego de lucha desarrollado por HAL Laboratory y distribuido por Nintendo para la Nintendo 64.
00767665n|Kingdom Under Fire II es un videojuego de estrategia en tiempo real desarrollado por Blueside para PC y PlayStation 3.
00769076n|Quackshot es un juego de plataformas lanzado para Sega Mega Drive en 1991.
00769853n|Twisted Metal 2 es el segundo y mas exitoso videojuego de la serie de combate con vehiculos Twisted Metal.
00770037n|Head over Heels es un videojuego desarrollado por Ocean Software Ltd en 1987 para los ordenadores de 8 bits mas populares, y luego llevada a otros formatos.
00770351n|Ragnarok Battle Offline es un videojuego de beat 'em up creado por el desarrollador independiente japones French-Bread en 2007 para Microsoft Windows.
00770449n|Las regletas de Cuisenaire son un versatil juego de manipulacion matematica utilizado en la escuela, asi como en otros niveles de aprendizaje e incluso con adultos.
00772374n|Saw es un videojuego de tipo survival horror con elementos de videojuego de accion.
00772603n|Constructor es un juego de 1997, originalmente desarrollado para el sistema DOS, y mas tarde trasladado a PlayStation y Windows-native DirectX 3.
00772734n|Big Red Racing es un videojuego de carreras lanzado para DOS en 1996.
00773863n|FaceBreaker es un videojuego de lucha creado por los desarrolladores de Fight Night, EA Canada.
00775548n|Area 51 es un videojuego arcade de pistola de luz lanzado por Atari Games en 1995.
00775866n|Mercenarios: El arte de la destruccion es un videojuego de accion en tercera persona ambientado en un imaginario golpe de estado en Corea del Norte en septiembre de 2009.
00776520n|Maths Training del Profesor Kageyama abreviado comunmente a Maths Training del Profesor Kageyama o simplemente Maths Training, es un videojuego educativo y de puzzles desarrollado por Jupiter y publicado por Nintendo para la consola Nintendo DS.
00779308n|El juego del dictador es un juego muy simple de economia experimental, similar al juego del ultimatum, que ha sido muy usado para estudiar actitudes altruistas.
00781023n|Egoboo es un juego basado en el juego Rogue.
00781892n|The Adventures of Captain Comic es un videojuego de plataformas clasico de 1988 para MS-DOS el cual es conocido por ser uno de los primeros juegos de desplazamiento lateral hecho para la IBM PC.
00781937n|Zoo Keeper es un videojuego de logica para la Nintendo DS desarrollado por la compañia japonesa Success.
00782971n|Raptor: Call of the Shadows es un videojuego de aviones en 2D diseñado para el computador X86 y escrito para el sistema operativo DOS.
00786105n|Abadox es un videojuego para NES, subtitulado The Deadly Inner War.
00787004n|Street Fighter 2010: The Final Fight es un videojuego de accion programado por la compañia Capcom en 1990 en exclusiva para la consola Nintendo NES.
00787364n|Ogre Battle 64: Person of Lordly Caliber es un videojuego de rol estrategico desarrollado por Quest y publicado por Nintendo en Japon en el año 1999 y por Atlus en Norteamerica en el año 2000.
00787638n|Time Hollow es un videojuego de aventuras desarrollado y publicado por Konami para la videoconsola Nintendo DS.
00787675n|Star Wars es un videojuego para la Nintendo Entertainment System aparecido en 1991 de la mano de JVC Digital Studios.
00787694n|Star Trek: 25th Anniversary es un videojuego basado en el universo Star Trek, desarrollado por Interplay y publicado por Ultra Games para Nintendo Entertainment System en 1991.
00787774n|Who Framed Roger Rabbit es un videojuego de accion-aventura creado para NES por Rare y publicado por LJN Toys Inc. en 1989.
00787806n|Urban Champion es un juego de lucha de dos jugadores distribuido por Nintendo en 1984.
00788171n|En teoria de juegos, la caza del ciervo es un juego que describre un conflicto entre seguridad y cooperacion social.
00788361n|Soccer es un videojuego deportivo desarrollado por Intelligent Systems y publicado por Nintendo como parte de la Sports Series de Nintendo Entertainment System.
00788792n|Contra Force es un videojuego desarrollado y distribuido por la compañia Konami en 1992 para la consola Nintendo Entertainment System, es el tercer juego de la saga Contra lanzado para este sistema.
00788920n|The Legend of Kage es un videojuego de arcade creado en 1984 por Taito y que fue desarrollado por varios sistemas home pc en 1986.
00788943n|Bases Loaded es un juego de arcade de beisbol creado por Jaleco que fue lanzado en Japon.
00789499n|Mickey's Adventures in Numberland es un videojuego educativo para Nintendo Entertainment System creado por Hi-Tech Expressions en 1994 y protagonizado por Mickey Mouse.
00791841n|Mu Torere es un juego de tablero de origen maori jugado en la costa este de la isla norte de Nueva Zelanda.
00792457n|Planescape: Torment es un videojuego de rol desarrollado para Windows por Black Isle Studios, y publicado en 1999.
00792487n|Dragon s Breath tambien conocido como Dragon Lord, era un videojuego de estrategia en un escenario fantastico creado por Palace Software, LTD. y Spotlight Software en 1990 para Commodore Amiga, Atari ST y MS-DOS.
00793612n|The Getaway es un videojuego de accion, desarrollado en Inglaterra por Team Soho, una subsidiaria de Sony Computer Entertainment Europe con base en Londres y lanzado a finales de 2002.
00795652n|The Sentinel es un videojuego de accion y estrategia lanzado en 1986, programado inicialmente por Geoff Crammond y comercializado por Firebird para BBC Micro y posteriormente publicado para Commodore 64, Amstrad CPC, ZX Spectrum, Atari ST, Amiga y PC.
00798178n|Championship Manager 2008 es un juego de estrategia y deporte de la saga Championship Manager desarrollado por la compañia Beautiful Game Studios.
00798750n|Neverwinter Nights 2 es un videojuego de rol desarrollado por Obsidian Entertainment y publicado el 3 de noviembre de 2006 por Atari.
00802734n|Metal Gear Solid 4: Guns of the Patriots es un videojuego de accion y sigilo en tercera persona que fue anunciado en marzo de 2005 por Konami.
00802754n|Marble Madness es un videojuego arcade diseñado por Mark Cerny y publicado por Atari Games en 1984.
00802914n|Otomedius es un videojuego del genero shoot 'em up con scroll horizontal de Konami, caracterizado por presentar personificaciones de naves espaciales de diversos juegos de la compañia.
00804443n|Guitar Hero: Aerosmith es un videojuego musical desarrollado por Neversoft y distribuido por Activision.
00804997n|El juego de la botifarra es un juego de cartas, muy popular en Cataluña y el norte de la provincia de Castellon y algunos lugares de Aragon.
00805823n|Crash: Mind Over Mutant, titulado en España Crash: Guerra al Coco-Maniaco, es un videojuego de plataformas desarrollado por Radical Entertainment y publicado por Activision.
00806027n|Mario & Wario es un videojuego desarrollado por Game Freak y distribuido por Nintendo para Super Famicom.
00809824n|The Lords of Midnight es un videojuego de los años 80, escrito por Mike Singleton, y publicado en 1984 para el ZX Spectrum.
00815714n|Advanced Dungeons & Dragons: Heroes of the Lance es un videojuego publicado en 1988 para varios sistemas de computadora domestica y videoconsolas.
00816322n|BlazBlue: Calamity Trigger es un videojuego de lucha en 2D creado por Arc System Works, lanzado para maquinas Arcade en noviembre del 2008 en Japon, y Norteamerica.
00817528n|Tactics Ogre: The Knight of Lodis es un juego de estrategia tactico diseñado por Quest.
00817683n|El juego de la distribucion de la cerveza es un juego de simulacion usado en ambientes de enseñanza para demostrar un numero de principios dominantes de la gerencia de la cadena de suministros.
00819926n|Ultimate Mortal Kombat 3 es el cuarto juego de la saga aun asi es solo la actualizacion de la tercera entrega, el cual fue lanzado para Arcade por Midway Games en 1996.
00822727n|Portal 2 es el segundo videojuego mezcla de videojuego de logica y de disparos en primera persona, de la saga Portal.
00823498n|Shadow the Hedgehog es un videojuego de accion - plataformas basado en el personaje Shadow the Hedgehog.
00824422n|OutRun 2 es un videojuego de carreras publicado por Sega en 2003.
00831040n|Tux Racer es un videojuego de software libre en 3D protagonizado por la mascota de Linux, Tux el pinguino.
00832460n|Neo Bomberman es uno de los dos videojuegos de Bomberman desarrollados por Hudson Soft para ser lanzados en el hardware de Neo Geo, siendo Panic Bomber el otro juego.
00834401n|SimCity Creator es un video juego en la serie de videojuegos Sim por Electronic Arts.
00837040n|Carioca es un juego de naipes de Chile, perteneciente a la familia del rummy, en el cual todos los jugadores, generalmente entre 2 a 4, reciben 12 cartas ocultas y deben crear diferentes juegos con su mano.
00840283n|Electroplankton es un videojuego musical desarrolado por Toshio Iwai y publicado por Nintendo para la consola portatil Nintendo DS.
00845941n|El modelo de liderazgo de Stackelberg es un juego de estrategia economica en donde el lider hace el primer movimiento y luego el seguidor responde con base en ello.
00846461n|Jianzi, ti jian zi, ti jian o jianqiu es un juego tradicional asiatico en el que los jugadores intentan mantener un volante de peso o pluma en el aire con los pies y otras partes del el cuerpo.
00848523n|X-Blades es un videojuego de accion-aventura desarrollado por TopWare Interactive y Gaijin Entertainment y distribuido por SouthPeak Games para las plataformas PlayStation 3, Xbox 360 y Microsoft Windows.
00850163n|El elastico, La goma, Liga, saltar a la goma es un juego tradicional infantil que consiste en realizar una serie de saltos ritmicos sobre una goma elastica o una pantimedia vieja.
00850433n|The Legend of Zelda: Twilight Princess es un videojuego de accion-aventura de 2005 desarrollado por la filial EAD y distribuido por Nintendo para las videoconsolas GameCube y Wii, siendo el decimotercer lanzamiento de la franquicia The Legend of Zelda.
00850653n|The Itchy and Scratchy Game es un videojuego lanzado en 1995 para diversas consolas.
00851151n|KAtomic es un juego sencillo de puzzle educativo que forma parte del paquete de juegos que se incluye en el entorno de escritorio KDE.
00852069n|Bases Loaded '96: Double Header es un juego de 1996 lannzado para el Sega Saturn y PlayStation.
00853667n|Ico es un videojuego de accion-aventura para PlayStation 2 publicado a finales del año 2001 por Sony Computer Entertainment.
00854195n|Marvel Super Heroes es un juego de peleas desarrollado por Capcom para la placa Arcade CPS-2,el cual fue posteriormente trasladado a Sega Saturn y PlayStation.
00854376n|Little Samson es un videojuego desarrollado por Takeru y publicado por Taito Corporation para la videoconsola Nintendo Entertainment System en 1992.
00855322n|Moria es un arcaico juego para computador de graficos ASCII roguelike remotamente basado en El Señor de los Anillos, la novela de J.
00857026n|I Wanna Be The Guy: The Movie: The Game es un videojuego de plataformas 2D independiente con licencia freeware.
